id,module,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,timestamp
1,Mobile,زبیر مردان,nan,,Google Pixel 7 Pro,بلیک، 12GB/128GB,nan,Available,48000,85000,48000.0,85000.0,2026-06-01 12:00
2,Mobile,زبیر مردان,,,Google Pixel 7 Pro,وائٹ، Non-PTA، CPID Approved,,Available,42000,65000,Used,65000,2026-06-01 12:00
3,Mobile,زبیر مردان,,,iPhone 8 Plus,گولڈ، 256GB,,Available,20000,30000,Used,30000,2026-06-01 12:00
4,Mobile,زبیر مردان,,,iPhone 8 Plus,گولڈ، 64GB,,Available,7000,18000,Used,18000,2026-06-01 12:00
5,Mobile,زبیر مردان,,,iPhone XR,Converted to iPhone 17,,Available,25000,45000,Used,45000,2026-06-01 12:00
6,Mobile,زبیر مردان,,,iPhone 7 Plus,—,,Available,13500,25000,Used,25000,2026-06-01 12:00
7,Mobile,زبیر مردان,,,iPhone XR,بلیک، 256GB,,Available,22000,40000,Used,40000,2026-06-01 12:00
8,Mobile,زبیر مردان,,,Vivo V20,صاف کنڈیشن,,Available,10000,22000,Used,22000,2026-06-01 12:00
9,Mobile,زبیر مردان,,,Tecno Spark Go,2024,,Available,13500,22000,New,22000,2026-06-01 12:00
10,Mobile,زبیر مردان,,,Realme C21,—,,Available,13500,18000,Used,18000,2026-06-01 12:00
11,Mobile,زبیر مردان,,,Vivo V12,—,,Available,5000,15000,Used,15000,2026-06-01 12:00
12,CashDrawer,2026-07-30,500000.0,0.0,,,,,,,,,2026-07-30 15:54
